No. ,Location,geo_State,Full_address,Latitude,Longitude,Fee Type ,ERU,Fee,Year Created ,Population ,geo_Accuracy Score,geo_Zipcode
11,Oro Valley,AZ,Oro Valley AZ,32.4143734,-110.9786539,E ,4000,4.5,2008,41627,0.9,85755
14,Surprise,AZ,Surprise AZ,33.6693746,-112.5250217,E ,3420,2.75,2016,117517,1,85374
16,Alameda,CA,Alameda CA,37.884247,-122.3977416,E ,2000,11.18,1992,79177,1,94501
18,Arcata,CA,Arcata CA,40.8453997,-124.1232635,E ,2500,1.96,2001,17231,1,95518
22,Carmel-by-the-Sea,CA,Carmel-by-the-Sea CA,36.552647,-121.9223235,E ,4000,8.77,2001,15677,0.9,93921
25,Contra Costa County,CA,Contra Costa County CA,37.9094414,-122.1279262,E ,5000,2.5,2012,1041274,1,
27,Cupertino,CA,Cupertino CA,37.3092293,-122.1136841,E ,4073,4.7,1992,60170,1,95014
40,Larkspur,CA,Larkspur CA,37.9399687,-122.5621059,E ,3000,1.25,1995,11926,1,94939
47,Palo Alto,CA,Palo Alto CA,37.425713,-122.1703694,E ,2500,15.04,1989,64403,1,94301
50,Rancho Cordova,CA,Rancho Cordova CA,38.5676276,-121.3307456,E ,3500,5.54,1996,64776,1,95670
51,Rancho Palos Verdes,CA,Rancho Palos Verdes CA,33.7586462,-118.4298852,E ,3804,8.06,2005,41643,1,90275
70,Stockton,CA,Stockton CA,37.973138,-121.3719173,E,2347,2.1,,291707,1,95201
71,Tracy,CA,Tracy CA,37.7207938,-121.4994524,E,3140,1.2,,84266,1,95376
77,Aurora,CO,Aurora CO,39.6890151,-104.8269165,E,2500,10.46,2002,345803,1,80010
82,Castle Rock,CO,Castle Rock CO,39.3736497,-104.9109981,E,3255,7.12,2002,48231,1,80104
86,Erie,CO,Erie CO,40.0509244,-105.0771444,E,5300,11.98,2003,19723,1,80516
94,Grand Junction,CO,Grand Junction CO,39.0856082,-108.7099181,E,2500,3,2015,61881,1,81501
102,Louisville,CO,Louisville CO,39.9688751,-105.1661836,E,3500,4.71,2007,19588,1,80027
106,Parker,CO,Parker CO,39.5080344,-104.8357286,E,4000,7.49,1999,48608,1,80134
118,Newark,DE,Newark DE,39.729881,-75.599524,E,1620,3.54,2017,33398,1,19702
121,Altamonte Springs,FL,Altamonte Springs FL,28.6650275,-81.4635562,E,2492,6.75,1989,41496,1,32701
122,Anna Maria,FL,Anna Maria FL,27.5282164,-82.7467201,E,2254,3.75,2008,1503,1,34216
124,Atlantic Beach,FL,Atlantic Beach FL,30.3421653,-81.4563902,E,1790,8.39,1991,12655,1,32233
126,Aventura,FL,Aventura FL,25.9531213,-80.1544396,E,1548,2.5,1997,36610,1,
127,Bartow,FL,Bartow FL,27.8982183,-81.8885608,E,2520,3.75,2005,17501,1,33830
129,Bay Harbor Islands,FL,Bay Harbor Islands FL,25.887485,-80.1573016,E,1548,5,1996,5762,0.8,33154
131,Belle Isle,FL,Belle Isle FL,28.4738112,-81.3668191,E,4087,4,2005,6111,1,32619
132,Belleair,FL,Belleair FL,27.9234114,-82.8528986,E,5459,11.92,2012,,0.5,
134,Boca Raton,FL,Boca Raton FL,26.5280698,-80.1169694,E,2837,3.11,1993,85329,1,
135,Boynton Beach,FL,Boynton Beach FL,26.5281466,-80.1169694,E,1937,5,1993,68996,1,
138,Brevard County,FL,Brevard County FL,28.3070456,-80.9663439,E,2500,3,1990,543566,1,
142,Casselberry,FL,Casselberry FL,28.6544343,-81.3579174,E,2304,8.4,1993,26387,1,32707
144,Clearwater,FL,Clearwater FL,27.9925295,-82.887482,E,1830,14.15,1991,107784,1,33755
145,Clermont,FL,Clermont FL,28.5347895,-81.7990842,E,3154,5,1990,29126,1,34711
146,Cocoa,FL,Cocoa FL,28.3286305,-80.6596439,E,2166,7,1992,17147,1,32922
147,Cocoa Beach,FL,Cocoa Beach FL,28.325685,-80.623424,E,2900,8.75,2003,11235,1,32931
148,Coconut Creek,FL,Coconut Creek FL,26.2711422,-80.2197714,E,2070,3.87,2004,53915,0.8,33923
150,Coral Gables,FL,Coral Gables FL,25.6909205,-80.248463,E,2346,14.73,1993,47783,0.9,33146
151,Cutler Bay,FL,Cutler Bay FL,25.5756653,-80.3764359,E,1548,4,2007,44300,1,
152,Daytona Beach,FL,Daytona Beach FL,29.2103982,-81.1666498,E,1661,8.67,2004,61028,1,32114
153,DeLand,FL,DeLand FL,29.0193739,-81.3580513,E,3100,8.69,2009,27041,1,32724
154,DeBary,FL,DeBary FL,28.8791062,-81.3914339,E,2560,7,2005,19324,0.8,32713
155,Delray Beach,FL,Delray Beach FL,26.4560036,-80.1271933,E,2502,5.33,1990,61209,1,33444
156,Deltona,FL,Deltona FL,28.8922148,-81.2886308,E,3484,6.34,1996,85219,1,32725
157,Doral,FL,Doral FL,25.8186392,-80.3891919,E,1548,4,2005,46789,1,
158,Dundee,FL,Dundee FL,28.0155361,-81.6519874,E,4749,1.2,2003,3764,1,33838
159,Dunedin,FL,Dunedin FL,28.0457868,-82.8642393,E,1708,11.49,2007,35354,1,34698
161,Edgewater,FL,Edgewater FL,28.95351,-81.0817619,E,2027,12,2004,20761,1,32132
162,El Portal,FL,El Portal FL,25.8549885,-80.2141325,E,1548,3,,2380,0.5,
166,Florida City,FL,Florida City FL,25.44052,-80.4667815,E,1250,2.5,2000,11511,0.9,33034
169,Fort Myers,FL,Fort Myers FL,26.6185654,-81.9723816,E,500,11.52,2009,63512,1,33901
170,Fort Pierce,FL,Fort Pierce FL,27.429376,-80.4095987,E,2186,4.5,2005,41993,1,34945
